"Input number 965500 with intial rewrite term cbbababbbabbabbbbbaad
Generated final number 6209 with final rewrite term cbaaaabaaaaabd
Number of steps: 602  Number of array doubles: 0"
Term	Number
cbbaaababbaabbabbbd	232247
cbbaaababbaabbabbgd	348371
cbbaaababbaabbabgbd	348371
cbbaaababbaabbagbbd	348371
cbbaaababbaabbfabbd	348371
cbbaaababbaabgaabbd	348371
cbbaaababbaagbaabbd	348371
cbbaaababbafabaabbd	348371
cbbaaababbebabaabbd	348371
cbbaaababfbbabaabbd	348371
cbbaaabagabbabaabbd	348371
cbbaaabfaabbabaabbd	348371
cbbaaagaaabbabaabbd	348371
cbbaafaaaabbabaabbd	348371
cbbaebaaaabbabaabbd	348371
cbbeabaaaabbabaabbd	348371
cbfbabaaaabbabaabbd	348371
cgababaaaabbabaabbd	348371
cabababaaaabbabaabbd	348371
cabababaaaabbabaabgd	522557
cabababaaaabbabaagbd	522557
cabababaaaabbabafabd	522557
cabababaaaabbabebabd	522557
cabababaaaabbafbbabd	522557
cabababaaaabbebbbabd	522557
cabababaaaabfbbbbabd	522557
cabababaaaagabbbbabd	522557
cabababaaafaabbbbabd	522557
cabababaaebaabbbbabd	522557
cabababaeabaabbbbabd	522557
cabababeaabaabbbbabd	522557
cababafbaabaabbbbabd	522557
cababebbaabaabbbbabd	522557
cabafbbbaabaabbbbabd	522557
cabebbbbaabaabbbbabd	522557
cafbbbbbaabaabbbbabd	522557
cebbbbbbaabaabbbbabd	522557
cbbbbbbbaabaabbbbabd	522557
cbbbbbbbaabaabbbbagd	783836
cbbbbbbbaabaabbbbfad	783836
cbbbbbbbaabaabbbgaad	783836
cbbbbbbbaabaabbgbaad	783836
cbbbbbbbaabaabgbbaad	783836
cbbbbbbbaabaagbbbaad	783836
cbbbbbbbaabafabbbaad	783836
cbbbbbbbaabebabbbaad	783836
cbbbbbbbaafbbabbbaad	783836
cbbbbbbbaebbbabbbaad	783836
cbbbbbbbeabbbabbbaad	783836
cbbbbbbfbabbbabbbaad	783836
cbbbbbgababbbabbbaad	783836
cbbbbgbababbbabbbaad	783836
cbbbgbbababbbabbbaad	783836
cbbgbbbababbbabbbaad	783836
cbgbbbbababbbabbbaad	783836
cgbbbbbababbbabbbaad	783836
cabbbbbbababbbabbbaad	783836
cabbbbbbababbbabbbad	391918
cabbbbbbababbbabbbd	195959
cabbbbbbababbbabbgd	293939
cabbbbbbababbbabgbd	293939
cabbbbbbababbbagbbd	293939
cabbbbbbababbbfabbd	293939
cabbbbbbababbgaabbd	293939
cabbbbbbababgbaabbd	293939
cabbbbbbabagbbaabbd	293939
cabbbbbbabfabbaabbd	293939
cabbbbbbagaabbaabbd	293939
cabbbbbbfaaabbaabbd	293939
cabbbbbgaaaabbaabbd	293939
cabbbbgbaaaabbaabbd	293939
cabbbgbbaaaabbaabbd	293939
cabbgbbbaaaabbaabbd	293939
cabgbbbbaaaabbaabbd	293939
cagbbbbbaaaabbaabbd	293939
cfabbbbbaaaabbaabbd	293939
caaabbbbbaaaabbaabbd	293939
caaabbbbbaaaabbaabgd	440909
caaabbbbbaaaabbaagbd	440909
caaabbbbbaaaabbafabd	440909
caaabbbbbaaaabbebabd	440909
caaabbbbbaaaabfbbabd	440909
caaabbbbbaaaagabbabd	440909
caaabbbbbaaafaabbabd	440909
caaabbbbbaaebaabbabd	440909
caaabbbbbaeabaabbabd	440909
caaabbbbbeaabaabbabd	440909
caaabbbbfbaabaabbabd	440909
caaabbbgabaabaabbabd	440909
caaabbgbabaabaabbabd	440909
caaabgbbabaabaabbabd	440909
caaagbbbabaabaabbabd	440909
caafabbbabaabaabbabd	440909
caebabbbabaabaabbabd	440909
ceababbbabaabaabbabd	440909
cbababbbabaabaabbabd	440909
cbababbbabaabaabbagd	661364
cbababbbabaabaabbfad	661364
cbababbbabaabaabgaad	661364
cbababbbabaabaagbaad	661364
cbababbbabaabafabaad	661364
cbababbbabaabebabaad	661364
cbababbbabaafbbabaad	661364
cbababbbabaebbbabaad	661364
cbababbbabeabbbabaad	661364
cbababbbafbabbbabaad	661364
cbababbbebbabbbabaad	661364
cbababbfbbbabbbabaad	661364
cbababgabbbabbbabaad	661364
cbabagbabbbabbbabaad	661364
cbabfababbbabbbabaad	661364
cbagaababbbabbbabaad	661364
cbfaaababbbabbbabaad	661364
cgaaaababbbabbbabaad	661364
cabaaaababbbabbbabaad	661364
cabaaaababbbabbbabad	330682
cabaaaababbbabbbabd	165341
cabaaaababbbabbbagd	248012
cabaaaababbbabbbfad	248012
cabaaaababbbabbgaad	248012
cabaaaababbbabgbaad	248012
cabaaaababbbagbbaad	248012
cabaaaababbbfabbaad	248012
cabaaaababbgaabbaad	248012
cabaaaababgbaabbaad	248012
cabaaaabagbbaabbaad	248012
cabaaaabfabbaabbaad	248012
cabaaaagaabbaabbaad	248012
cabaaafaaabbaabbaad	248012
cabaaebaaabbaabbaad	248012
cabaeabaaabbaabbaad	248012
cabeaabaaabbaabbaad	248012
cafbaabaaabbaabbaad	248012
cebbaabaaabbaabbaad	248012
cbbbaabaaabbaabbaad	248012
cbbbaabaaabbaabbad	124006
cbbbaabaaabbaabbd	62003
cbbbaabaaabbaabgd	93005
cbbbaabaaabbaagbd	93005
cbbbaabaaabbafabd	93005
cbbbaabaaabbebabd	93005
cbbbaabaaabfbbabd	93005
cbbbaabaaagabbabd	93005
cbbbaabaafaabbabd	93005
cbbbaabaebaabbabd	93005
cbbbaabeabaabbabd	93005
cbbbaafbabaabbabd	93005
cbbbaebbabaabbabd	93005
cbbbeabbabaabbabd	93005
cbbfbabbabaabbabd	93005
cbgababbabaabbabd	93005
cgbababbabaabbabd	93005
cabbababbabaabbabd	93005
cabbababbabaabbagd	139508
cabbababbabaabbfad	139508
cabbababbabaabgaad	139508
cabbababbabaagbaad	139508
cabbababbabafabaad	139508
cabbababbabebabaad	139508
cabbababbafbbabaad	139508
cabbababbebbbabaad	139508
cabbababfbbbbabaad	139508
cabbabagabbbbabaad	139508
cabbabfaabbbbabaad	139508
cabbagaaabbbbabaad	139508
cabbfaaaabbbbabaad	139508
cabgaaaaabbbbabaad	139508
cagbaaaaabbbbabaad	139508
cfabaaaaabbbbabaad	139508
caaabaaaaabbbbabaad	139508
caaabaaaaabbbbabad	69754
caaabaaaaabbbbabd	34877
caaabaaaaabbbbagd	52316
caaabaaaaabbbbfad	52316
caaabaaaaabbbgaad	52316
caaabaaaaabbgbaad	52316
caaabaaaaabgbbaad	52316
caaabaaaaagbbbaad	52316
caaabaaaafabbbaad	52316
caaabaaaebabbbaad	52316
caaabaaeababbbaad	52316
caaabaeaababbbaad	52316
caaabeaaababbbaad	52316
caaafbaaababbbaad	52316
caaebbaaababbbaad	52316
caeabbaaababbbaad	52316
ceaabbaaababbbaad	52316
cbaabbaaababbbaad	52316
cbaabbaaababbbad	26158
cbaabbaaababbbd	13079
cbaabbaaababbgd	19619
cbaabbaaababgbd	19619
cbaabbaaabagbbd	19619
cbaabbaaabfabbd	19619
cbaabbaaagaabbd	19619
cbaabbaafaaabbd	19619
cbaabbaebaaabbd	19619
cbaabbeabaaabbd	19619
cbaabfbabaaabbd	19619
cbaagababaaabbd	19619
cbafaababaaabbd	19619
cbebaababaaabbd	19619
cfbbaababaaabbd	19619
caabbaababaaabbd	19619
caabbaababaaabgd	29429
caabbaababaaagbd	29429
caabbaababaafabd	29429
caabbaababaebabd	29429
caabbaababeababd	29429
caabbaabafbababd	29429
caabbaabebbababd	29429
caabbaafbbbababd	29429
caabbaebbbbababd	29429
caabbeabbbbababd	29429
caabfbabbbbababd	29429
caagababbbbababd	29429
cafaababbbbababd	29429
cebaababbbbababd	29429
cbbaababbbbababd	29429
cbbaababbbbabagd	44144
cbbaababbbbabfad	44144
cbbaababbbbagaad	44144
cbbaababbbbfaaad	44144
cbbaababbbgaaaad	44144
cbbaababbgbaaaad	44144
cbbaababgbbaaaad	44144
cbbaabagbbbaaaad	44144
cbbaabfabbbaaaad	44144
cbbaagaabbbaaaad	44144
cbbafaaabbbaaaad	44144
cbbebaaabbbaaaad	44144
cbfbbaaabbbaaaad	44144
cgabbaaabbbaaaad	44144
cababbaaabbbaaaad	44144
cababbaaabbbaaad	22072
cababbaaabbbaad	11036
cababbaaabbbad	5518
cababbaaabbbd	2759
cababbaaabbgd	4139
cababbaaabgbd	4139
cababbaaagbbd	4139
cababbaafabbd	4139
