"Input number 140458198 with intial rewrite term caaaababbbbbaabbbaaabbababbad
Generated final number 32070439 with final rewrite term cbbbabaabababbabbaabaabbbd
Number of steps: 541  Number of array doubles: 0"
Term	Number
cabbababaaaabaabbbabbbbfabd	71187257
cabbababaaaabaabbbabbbgaabd	71187257
cabbababaaaabaabbbabbgbaabd	71187257
cabbababaaaabaabbbabgbbaabd	71187257
cabbababaaaabaabbbagbbbaabd	71187257
cabbababaaaabaabbbfabbbaabd	71187257
cabbababaaaabaabbgaabbbaabd	71187257
cabbababaaaabaabgbaabbbaabd	71187257
cabbababaaaabaagbbaabbbaabd	71187257
cabbababaaaabafabbaabbbaabd	71187257
cabbababaaaabebabbaabbbaabd	71187257
cabbababaaaafbbabbaabbbaabd	71187257
cabbababaaaebbbabbaabbbaabd	71187257
cabbababaaeabbbabbaabbbaabd	71187257
cabbababaeaabbbabbaabbbaabd	71187257
cabbababeaaabbbabbaabbbaabd	71187257
cabbabafbaaabbbabbaabbbaabd	71187257
cabbabebbaaabbbabbaabbbaabd	71187257
cabbafbbbaaabbbabbaabbbaabd	71187257
cabbebbbbaaabbbabbaabbbaabd	71187257
cabfbbbbbaaabbbabbaabbbaabd	71187257
cagabbbbbaaabbbabbaabbbaabd	71187257
cfaabbbbbaaabbbabbaabbbaabd	71187257
caaaabbbbbaaabbbabbaabbbaabd	71187257
caaaabbbbbaaabbbabbaabbbebd	53390443
caaaabbbbbaaabbbabbaabbfbbd	53390443
caaaabbbbbaaabbbabbaabgabbd	53390443
caaaabbbbbaaabbbabbaagbabbd	53390443
caaaabbbbbaaabbbabbafababbd	53390443
caaaabbbbbaaabbbabbebababbd	53390443
caaaabbbbbaaabbbabfbbababbd	53390443
caaaabbbbbaaabbbagabbababbd	53390443
caaaabbbbbaaabbbfaabbababbd	53390443
caaaabbbbbaaabbgaaabbababbd	53390443
caaaabbbbbaaabgbaaabbababbd	53390443
caaaabbbbbaaagbbaaabbababbd	53390443
caaaabbbbbaafabbaaabbababbd	53390443
caaaabbbbbaebabbaaabbababbd	53390443
caaaabbbbbeababbaaabbababbd	53390443
caaaabbbbfbababbaaabbababbd	53390443
caaaabbbgabababbaaabbababbd	53390443
caaaabbgbabababbaaabbababbd	53390443
caaaabgbbabababbaaabbababbd	53390443
caaaagbbbabababbaaabbababbd	53390443
caaafabbbabababbaaabbababbd	53390443
caaebabbbabababbaaabbababbd	53390443
caeababbbabababbaaabbababbd	53390443
ceaababbbabababbaaabbababbd	53390443
cbaababbbabababbaaabbababbd	53390443
cbaababbbabababbaaabbabfabd	80085665
cbaababbbabababbaaabbagaabd	80085665
cbaababbbabababbaaabbfaaabd	80085665
cbaababbbabababbaaabgaaaabd	80085665
cbaababbbabababbaaagbaaaabd	80085665
cbaababbbabababbaafabaaaabd	80085665
cbaababbbabababbaebabaaaabd	80085665
cbaababbbabababbeababaaaabd	80085665
cbaababbbabababfbababaaaabd	80085665
cbaababbbababagabababaaaabd	80085665
cbaababbbababfaabababaaaabd	80085665
cbaababbbabagaaabababaaaabd	80085665
cbaababbbabfaaaabababaaaabd	80085665
cbaababbbagaaaaabababaaaabd	80085665
cbaababbbfaaaaaabababaaaabd	80085665
cbaababbgaaaaaaabababaaaabd	80085665
cbaababgbaaaaaaabababaaaabd	80085665
cbaabagbbaaaaaaabababaaaabd	80085665
cbaabfabbaaaaaaabababaaaabd	80085665
cbaagaabbaaaaaaabababaaaabd	80085665
cbafaaabbaaaaaaabababaaaabd	80085665
cbebaaabbaaaaaaabababaaaabd	80085665
cfbbaaabbaaaaaaabababaaaabd	80085665
caabbaaabbaaaaaaabababaaaabd	80085665
caabbaaabbaaaaaaabababaaebd	60064249
caabbaaabbaaaaaaabababaeabd	60064249
caabbaaabbaaaaaaabababeaabd	60064249
caabbaaabbaaaaaaababafbaabd	60064249
caabbaaabbaaaaaaababebbaabd	60064249
caabbaaabbaaaaaaabafbbbaabd	60064249
caabbaaabbaaaaaaabebbbbaabd	60064249
caabbaaabbaaaaaaafbbbbbaabd	60064249
caabbaaabbaaaaaaebbbbbbaabd	60064249
caabbaaabbaaaaaeabbbbbbaabd	60064249
caabbaaabbaaaaeaabbbbbbaabd	60064249
caabbaaabbaaaeaaabbbbbbaabd	60064249
caabbaaabbaaeaaaabbbbbbaabd	60064249
caabbaaabbaeaaaaabbbbbbaabd	60064249
caabbaaabbeaaaaaabbbbbbaabd	60064249
caabbaaabfbaaaaaabbbbbbaabd	60064249
caabbaaagabaaaaaabbbbbbaabd	60064249
caabbaafaabaaaaaabbbbbbaabd	60064249
caabbaebaabaaaaaabbbbbbaabd	60064249
caabbeabaabaaaaaabbbbbbaabd	60064249
caabfbabaabaaaaaabbbbbbaabd	60064249
caagababaabaaaaaabbbbbbaabd	60064249
cafaababaabaaaaaabbbbbbaabd	60064249
cebaababaabaaaaaabbbbbbaabd	60064249
cbbaababaabaaaaaabbbbbbaabd	60064249
cbbaababaabaaaaaabbbbbbebd	45048187
cbbaababaabaaaaaabbbbbfbbd	45048187
cbbaababaabaaaaaabbbbgabbd	45048187
cbbaababaabaaaaaabbbgbabbd	45048187
cbbaababaabaaaaaabbgbbabbd	45048187
cbbaababaabaaaaaabgbbbabbd	45048187
cbbaababaabaaaaaagbbbbabbd	45048187
cbbaababaabaaaaafabbbbabbd	45048187
cbbaababaabaaaaebabbbbabbd	45048187
cbbaababaabaaaeababbbbabbd	45048187
cbbaababaabaaeaababbbbabbd	45048187
cbbaababaabaeaaababbbbabbd	45048187
cbbaababaabeaaaababbbbabbd	45048187
cbbaababaafbaaaababbbbabbd	45048187
cbbaababaebbaaaababbbbabbd	45048187
cbbaababeabbaaaababbbbabbd	45048187
cbbaabafbabbaaaababbbbabbd	45048187
cbbaabebbabbaaaababbbbabbd	45048187
cbbaafbbbabbaaaababbbbabbd	45048187
cbbaebbbbabbaaaababbbbabbd	45048187
cbbeabbbbabbaaaababbbbabbd	45048187
cbfbabbbbabbaaaababbbbabbd	45048187
cgababbbbabbaaaababbbbabbd	45048187
cabababbbbabbaaaababbbbabbd	45048187
cabababbbbabbaaaababbbbfabd	67572281
cabababbbbabbaaaababbbgaabd	67572281
cabababbbbabbaaaababbgbaabd	67572281
cabababbbbabbaaaababgbbaabd	67572281
cabababbbbabbaaaabagbbbaabd	67572281
cabababbbbabbaaaabfabbbaabd	67572281
cabababbbbabbaaaagaabbbaabd	67572281
cabababbbbabbaaafaaabbbaabd	67572281
cabababbbbabbaaebaaabbbaabd	67572281
cabababbbbabbaeabaaabbbaabd	67572281
cabababbbbabbeaabaaabbbaabd	67572281
cabababbbbabfbaabaaabbbaabd	67572281
cabababbbbagabaabaaabbbaabd	67572281
cabababbbbfaabaabaaabbbaabd	67572281
cabababbbgaaabaabaaabbbaabd	67572281
cabababbgbaaabaabaaabbbaabd	67572281
cabababgbbaaabaabaaabbbaabd	67572281
cababagbbbaaabaabaaabbbaabd	67572281
cababfabbbaaabaabaaabbbaabd	67572281
cabagaabbbaaabaabaaabbbaabd	67572281
cabfaaabbbaaabaabaaabbbaabd	67572281
cagaaaabbbaaabaabaaabbbaabd	67572281
cfaaaaabbbaaabaabaaabbbaabd	67572281
caaaaaaabbbaaabaabaaabbbaabd	67572281
caaaaaaabbbaaabaabaaabbbebd	50679211
caaaaaaabbbaaabaabaaabbfbbd	50679211
caaaaaaabbbaaabaabaaabgabbd	50679211
caaaaaaabbbaaabaabaaagbabbd	50679211
caaaaaaabbbaaabaabaafababbd	50679211
caaaaaaabbbaaabaabaebababbd	50679211
caaaaaaabbbaaabaabeabababbd	50679211
caaaaaaabbbaaabaafbabababbd	50679211
caaaaaaabbbaaabaebbabababbd	50679211
caaaaaaabbbaaabeabbabababbd	50679211
caaaaaaabbbaaafbabbabababbd	50679211
caaaaaaabbbaaebbabbabababbd	50679211
caaaaaaabbbaeabbabbabababbd	50679211
caaaaaaabbbeaabbabbabababbd	50679211
caaaaaaabbfbaabbabbabababbd	50679211
caaaaaaabgabaabbabbabababbd	50679211
caaaaaaagbabaabbabbabababbd	50679211
caaaaaafababaabbabbabababbd	50679211
caaaaaebababaabbabbabababbd	50679211
caaaaeabababaabbabbabababbd	50679211
caaaeaabababaabbabbabababbd	50679211
caaeaaabababaabbabbabababbd	50679211
caeaaaabababaabbabbabababbd	50679211
ceaaaaabababaabbabbabababbd	50679211
cbaaaaabababaabbabbabababbd	50679211
cbaaaaabababaabbabbababfabd	76018817
cbaaaaabababaabbabbabagaabd	76018817
cbaaaaabababaabbabbabfaaabd	76018817
cbaaaaabababaabbabbagaaaabd	76018817
cbaaaaabababaabbabbfaaaaabd	76018817
cbaaaaabababaabbabgaaaaaabd	76018817
cbaaaaabababaabbagbaaaaaabd	76018817
cbaaaaabababaabbfabaaaaaabd	76018817
cbaaaaabababaabgaabaaaaaabd	76018817
cbaaaaabababaagbaabaaaaaabd	76018817
cbaaaaabababafabaabaaaaaabd	76018817
cbaaaaabababebabaabaaaaaabd	76018817
cbaaaaababafbbabaabaaaaaabd	76018817
cbaaaaababebbbabaabaaaaaabd	76018817
cbaaaaabafbbbbabaabaaaaaabd	76018817
cbaaaaabebbbbbabaabaaaaaabd	76018817
cbaaaaafbbbbbbabaabaaaaaabd	76018817
cbaaaaebbbbbbbabaabaaaaaabd	76018817
cbaaaeabbbbbbbabaabaaaaaabd	76018817
cbaaeaabbbbbbbabaabaaaaaabd	76018817
cbaeaaabbbbbbbabaabaaaaaabd	76018817
cbeaaaabbbbbbbabaabaaaaaabd	76018817
cfbaaaabbbbbbbabaabaaaaaabd	76018817
caabaaaabbbbbbbabaabaaaaaabd	76018817
caabaaaabbbbbbbabaabaaaaebd	57014113
caabaaaabbbbbbbabaabaaaeabd	57014113
caabaaaabbbbbbbabaabaaeaabd	57014113
caabaaaabbbbbbbabaabaeaaabd	57014113
caabaaaabbbbbbbabaabeaaaabd	57014113
caabaaaabbbbbbbabaafbaaaabd	57014113
caabaaaabbbbbbbabaebbaaaabd	57014113
caabaaaabbbbbbbabeabbaaaabd	57014113
caabaaaabbbbbbbafbabbaaaabd	57014113
caabaaaabbbbbbbebbabbaaaabd	57014113
caabaaaabbbbbbfbbbabbaaaabd	57014113
caabaaaabbbbbgabbbabbaaaabd	57014113
caabaaaabbbbgbabbbabbaaaabd	57014113
caabaaaabbbgbbabbbabbaaaabd	57014113
caabaaaabbgbbbabbbabbaaaabd	57014113
caabaaaabgbbbbabbbabbaaaabd	57014113
caabaaaagbbbbbabbbabbaaaabd	57014113
caabaaafabbbbbabbbabbaaaabd	57014113
caabaaebabbbbbabbbabbaaaabd	57014113
caabaeababbbbbabbbabbaaaabd	57014113
caabeaababbbbbabbbabbaaaabd	57014113
caafbaababbbbbabbbabbaaaabd	57014113
caebbaababbbbbabbbabbaaaabd	57014113
ceabbaababbbbbabbbabbaaaabd	57014113
cbabbaababbbbbabbbabbaaaabd	57014113
cbabbaababbbbbabbbabbaaebd	42760585
cbabbaababbbbbabbbabbaeabd	42760585
cbabbaababbbbbabbbabbeaabd	42760585
cbabbaababbbbbabbbabfbaabd	42760585
cbabbaababbbbbabbbagabaabd	42760585
cbabbaababbbbbabbbfaabaabd	42760585
cbabbaababbbbbabbgaaabaabd	42760585
cbabbaababbbbbabgbaaabaabd	42760585
cbabbaababbbbbagbbaaabaabd	42760585
cbabbaababbbbbfabbaaabaabd	42760585
cbabbaababbbbgaabbaaabaabd	42760585
cbabbaababbbgbaabbaaabaabd	42760585
cbabbaababbgbbaabbaaabaabd	42760585
cbabbaababgbbbaabbaaabaabd	42760585
cbabbaabagbbbbaabbaaabaabd	42760585
cbabbaabfabbbbaabbaaabaabd	42760585
cbabbaagaabbbbaabbaaabaabd	42760585
cbabbafaaabbbbaabbaaabaabd	42760585
cbabbebaaabbbbaabbaaabaabd	42760585
cbabfbbaaabbbbaabbaaabaabd	42760585
cbagabbaaabbbbaabbaaabaabd	42760585
cbfaabbaaabbbbaabbaaabaabd	42760585
cgaaabbaaabbbbaabbaaabaabd	42760585
cabaaabbaaabbbbaabbaaabaabd	42760585
cabaaabbaaabbbbaabbaaabebd	32070439
cabaaabbaaabbbbaabbaaafbbd	32070439
cabaaabbaaabbbbaabbaaebbbd	32070439
cabaaabbaaabbbbaabbaeabbbd	32070439
cabaaabbaaabbbbaabbeaabbbd	32070439
cabaaabbaaabbbbaabfbaabbbd	32070439
cabaaabbaaabbbbaagabaabbbd	32070439
cabaaabbaaabbbbafaabaabbbd	32070439
cabaaabbaaabbbbebaabaabbbd	32070439
cabaaabbaaabbbfbbaabaabbbd	32070439
cabaaabbaaabbgabbaabaabbbd	32070439
cabaaabbaaabgbabbaabaabbbd	32070439
cabaaabbaaagbbabbaabaabbbd	32070439
cabaaabbaafabbabbaabaabbbd	32070439
cabaaabbaebabbabbaabaabbbd	32070439
cabaaabbeababbabbaabaabbbd	32070439
cabaaabfbababbabbaabaabbbd	32070439
cabaaagabababbabbaabaabbbd	32070439
cabaafaabababbabbaabaabbbd	32070439
cabaebaabababbabbaabaabbbd	32070439
cabeabaabababbabbaabaabbbd	32070439
cafbabaabababbabbaabaabbbd	32070439
cebbabaabababbabbaabaabbbd	32070439
cbbbabaabababbabbaabaabbbd	32070439
