"Input number 782053216 with intial rewrite term cabbbabaabbbabaababbbbabbaaaaad
Generated final number 22320517 with final rewrite term cabababaabaabababbaaaababd
Number of steps: 506  Number of array doubles: 0"
Term	Number
caabbbbbabbbfabbbbbbbabbd	15676411
caabbbbbabbgaabbbbbbbabbd	15676411
caabbbbbabgbaabbbbbbbabbd	15676411
caabbbbbagbbaabbbbbbbabbd	15676411
caabbbbbfabbaabbbbbbbabbd	15676411
caabbbbgaabbaabbbbbbbabbd	15676411
caabbbgbaabbaabbbbbbbabbd	15676411
caabbgbbaabbaabbbbbbbabbd	15676411
caabgbbbaabbaabbbbbbbabbd	15676411
caagbbbbaabbaabbbbbbbabbd	15676411
cafabbbbaabbaabbbbbbbabbd	15676411
cebabbbbaabbaabbbbbbbabbd	15676411
cbbabbbbaabbaabbbbbbbabbd	15676411
cbbabbbbaabbaabbbbbbbfabd	23514617
cbbabbbbaabbaabbbbbbgaabd	23514617
cbbabbbbaabbaabbbbbgbaabd	23514617
cbbabbbbaabbaabbbbgbbaabd	23514617
cbbabbbbaabbaabbbgbbbaabd	23514617
cbbabbbbaabbaabbgbbbbaabd	23514617
cbbabbbbaabbaabgbbbbbaabd	23514617
cbbabbbbaabbaagbbbbbbaabd	23514617
cbbabbbbaabbafabbbbbbaabd	23514617
cbbabbbbaabbebabbbbbbaabd	23514617
cbbabbbbaabfbbabbbbbbaabd	23514617
cbbabbbbaagabbabbbbbbaabd	23514617
cbbabbbbafaabbabbbbbbaabd	23514617
cbbabbbbebaabbabbbbbbaabd	23514617
cbbabbbfbbaabbabbbbbbaabd	23514617
cbbabbgabbaabbabbbbbbaabd	23514617
cbbabgbabbaabbabbbbbbaabd	23514617
cbbagbbabbaabbabbbbbbaabd	23514617
cbbfabbabbaabbabbbbbbaabd	23514617
cbgaabbabbaabbabbbbbbaabd	23514617
cgbaabbabbaabbabbbbbbaabd	23514617
cabbaabbabbaabbabbbbbbaabd	23514617
cabbaabbabbaabbabbbbbbebd	17635963
cabbaabbabbaabbabbbbbfbbd	17635963
cabbaabbabbaabbabbbbgabbd	17635963
cabbaabbabbaabbabbbgbabbd	17635963
cabbaabbabbaabbabbgbbabbd	17635963
cabbaabbabbaabbabgbbbabbd	17635963
cabbaabbabbaabbagbbbbabbd	17635963
cabbaabbabbaabbfabbbbabbd	17635963
cabbaabbabbaabgaabbbbabbd	17635963
cabbaabbabbaagbaabbbbabbd	17635963
cabbaabbabbafabaabbbbabbd	17635963
cabbaabbabbebabaabbbbabbd	17635963
cabbaabbabfbbabaabbbbabbd	17635963
cabbaabbagabbabaabbbbabbd	17635963
cabbaabbfaabbabaabbbbabbd	17635963
cabbaabgaaabbabaabbbbabbd	17635963
cabbaagbaaabbabaabbbbabbd	17635963
cabbafabaaabbabaabbbbabbd	17635963
cabbebabaaabbabaabbbbabbd	17635963
cabfbbabaaabbabaabbbbabbd	17635963
cagabbabaaabbabaabbbbabbd	17635963
cfaabbabaaabbabaabbbbabbd	17635963
caaaabbabaaabbabaabbbbabbd	17635963
caaaabbabaaabbabaabbbbfabd	26453945
caaaabbabaaabbabaabbbgaabd	26453945
caaaabbabaaabbabaabbgbaabd	26453945
caaaabbabaaabbabaabgbbaabd	26453945
caaaabbabaaabbabaagbbbaabd	26453945
caaaabbabaaabbabafabbbaabd	26453945
caaaabbabaaabbabebabbbaabd	26453945
