"Input number 7451656 with intial rewrite term cbbaaabbabbabaaaaaabaaad
Generated final number 496695277 with final rewrite term cbbabbaabbababbbbabbbbbbabbabd
Number of steps: 905  Number of array doubles: 0"
Term	Number
caaababaabbbfaababbbbababbd	54445547
caaababaabbgaaababbbbababbd	54445547
caaababaabgbaaababbbbababbd	54445547
caaababaagbbaaababbbbababbd	54445547
caaababafabbaaababbbbababbd	54445547
caaababebabbaaababbbbababbd	54445547
caaabafbbabbaaababbbbababbd	54445547
caaabebbbabbaaababbbbababbd	54445547
caaafbbbbabbaaababbbbababbd	54445547
caaebbbbbabbaaababbbbababbd	54445547
caeabbbbbabbaaababbbbababbd	54445547
ceaabbbbbabbaaababbbbababbd	54445547
cbaabbbbbabbaaababbbbababbd	54445547
cbaabbbbbabbaaababbbbababgd	81668321
cbaabbbbbabbaaababbbbabagbd	81668321
cbaabbbbbabbaaababbbbabfabd	81668321
cbaabbbbbabbaaababbbbagaabd	81668321
cbaabbbbbabbaaababbbbfaaabd	81668321
cbaabbbbbabbaaababbbgaaaabd	81668321
cbaabbbbbabbaaababbgbaaaabd	81668321
cbaabbbbbabbaaababgbbaaaabd	81668321
cbaabbbbbabbaaabagbbbaaaabd	81668321
cbaabbbbbabbaaabfabbbaaaabd	81668321
cbaabbbbbabbaaagaabbbaaaabd	81668321
cbaabbbbbabbaafaaabbbaaaabd	81668321
cbaabbbbbabbaebaaabbbaaaabd	81668321
cbaabbbbbabbeabaaabbbaaaabd	81668321
cbaabbbbbabfbabaaabbbaaaabd	81668321
cbaabbbbbagababaaabbbaaaabd	81668321
cbaabbbbbfaababaaabbbaaaabd	81668321
cbaabbbbgaaababaaabbbaaaabd	81668321
cbaabbbgbaaababaaabbbaaaabd	81668321
cbaabbgbbaaababaaabbbaaaabd	81668321
cbaabgbbbaaababaaabbbaaaabd	81668321
cbaagbbbbaaababaaabbbaaaabd	81668321
cbafabbbbaaababaaabbbaaaabd	81668321
cbebabbbbaaababaaabbbaaaabd	81668321
cfbbabbbbaaababaaabbbaaaabd	81668321
caabbabbbbaaababaaabbbaaaabd	81668321
caabbabbbbaaababaaabbbaaaagd	122502482
caabbabbbbaaababaaabbbaaafad	122502482
caabbabbbbaaababaaabbbaaebad	122502482
caabbabbbbaaababaaabbbaeabad	122502482
caabbabbbbaaababaaabbbeaabad	122502482
caabbabbbbaaababaaabbfbaabad	122502482
caabbabbbbaaababaaabgabaabad	122502482
caabbabbbbaaababaaagbabaabad	122502482
caabbabbbbaaababaafababaabad	122502482
caabbabbbbaaababaebababaabad	122502482
caabbabbbbaaababeabababaabad	122502482
caabbabbbbaaabafbabababaabad	122502482
caabbabbbbaaabebbabababaabad	122502482
caabbabbbbaaafbbbabababaabad	122502482
caabbabbbbaaebbbbabababaabad	122502482
caabbabbbbaeabbbbabababaabad	122502482
caabbabbbbeaabbbbabababaabad	122502482
caabbabbbfbaabbbbabababaabad	122502482
caabbabbgabaabbbbabababaabad	122502482
caabbabgbabaabbbbabababaabad	122502482
caabbagbbabaabbbbabababaabad	122502482
caabbfabbabaabbbbabababaabad	122502482
caabgaabbabaabbbbabababaabad	122502482
caagbaabbabaabbbbabababaabad	122502482
cafabaabbabaabbbbabababaabad	122502482
cebabaabbabaabbbbabababaabad	122502482
cbbabaabbabaabbbbabababaabad	122502482
cbbabaabbabaabbbbabababaabd	61251241
cbbabaabbabaabbbbabababaagd	91876862
cbbabaabbabaabbbbabababafad	91876862
cbbabaabbabaabbbbabababebad	91876862
cbbabaabbabaabbbbababafbbad	91876862
cbbabaabbabaabbbbababebbbad	91876862
cbbabaabbabaabbbbabafbbbbad	91876862
cbbabaabbabaabbbbabebbbbbad	91876862
cbbabaabbabaabbbbafbbbbbbad	91876862
cbbabaabbabaabbbbebbbbbbbad	91876862
cbbabaabbabaabbbfbbbbbbbbad	91876862
cbbabaabbabaabbgabbbbbbbbad	91876862
cbbabaabbabaabgbabbbbbbbbad	91876862
cbbabaabbabaagbbabbbbbbbbad	91876862
cbbabaabbabafabbabbbbbbbbad	91876862
cbbabaabbabebabbabbbbbbbbad	91876862
cbbabaabbafbbabbabbbbbbbbad	91876862
cbbabaabbebbbabbabbbbbbbbad	91876862
cbbabaabfbbbbabbabbbbbbbbad	91876862
cbbabaagabbbbabbabbbbbbbbad	91876862
cbbabafaabbbbabbabbbbbbbbad	91876862
cbbabebaabbbbabbabbbbbbbbad	91876862
cbbafbbaabbbbabbabbbbbbbbad	91876862
cbbebbbaabbbbabbabbbbbbbbad	91876862
cbfbbbbaabbbbabbabbbbbbbbad	91876862
cgabbbbaabbbbabbabbbbbbbbad	91876862
cababbbbaabbbbabbabbbbbbbbad	91876862
cababbbbaabbbbabbabbbbbbbbd	45938431
cababbbbaabbbbabbabbbbbbbgd	68907647
cababbbbaabbbbabbabbbbbbgbd	68907647
cababbbbaabbbbabbabbbbbgbbd	68907647
cababbbbaabbbbabbabbbbgbbbd	68907647
cababbbbaabbbbabbabbbgbbbbd	68907647
cababbbbaabbbbabbabbgbbbbbd	68907647
cababbbbaabbbbabbabgbbbbbbd	68907647
cababbbbaabbbbabbagbbbbbbbd	68907647
cababbbbaabbbbabbfabbbbbbbd	68907647
cababbbbaabbbbabgaabbbbbbbd	68907647
cababbbbaabbbbagbaabbbbbbbd	68907647
cababbbbaabbbbfabaabbbbbbbd	68907647
cababbbbaabbbgaabaabbbbbbbd	68907647
