"Input number 95734 with intial rewrite term cabbbababbbbbabbad
Generated final number 40337621 with final rewrite term caabbaabbbbaaaaaaabbabababd
Number of steps: 646  Number of array doubles: 0"
Term	Number
cabaaabeaababaababbabaabd	15935849
cabaaafbaababaababbabaabd	15935849
cabaaebbaababaababbabaabd	15935849
cabaeabbaababaababbabaabd	15935849
cabeaabbaababaababbabaabd	15935849
cafbaabbaababaababbabaabd	15935849
cebbaabbaababaababbabaabd	15935849
cbbbaabbaababaababbabaabd	15935849
cbbbaabbaababaababbabaagd	23903774
cbbbaabbaababaababbabafad	23903774
cbbbaabbaababaababbabebad	23903774
cbbbaabbaababaababbafbbad	23903774
cbbbaabbaababaababbebbbad	23903774
cbbbaabbaababaababfbbbbad	23903774
cbbbaabbaababaabagabbbbad	23903774
cbbbaabbaababaabfaabbbbad	23903774
cbbbaabbaababaagaaabbbbad	23903774
cbbbaabbaababafaaaabbbbad	23903774
cbbbaabbaababebaaaabbbbad	23903774
cbbbaabbaabafbbaaaabbbbad	23903774
cbbbaabbaabebbbaaaabbbbad	23903774
cbbbaabbaafbbbbaaaabbbbad	23903774
cbbbaabbaebbbbbaaaabbbbad	23903774
cbbbaabbeabbbbbaaaabbbbad	23903774
cbbbaabfbabbbbbaaaabbbbad	23903774
cbbbaagababbbbbaaaabbbbad	23903774
cbbbafaababbbbbaaaabbbbad	23903774
cbbbebaababbbbbaaaabbbbad	23903774
cbbfbbaababbbbbaaaabbbbad	23903774
cbgabbaababbbbbaaaabbbbad	23903774
cgbabbaababbbbbaaaabbbbad	23903774
cabbabbaababbbbbaaaabbbbad	23903774
cabbabbaababbbbbaaaabbbbd	11951887
cabbabbaababbbbbaaaabbbgd	17927831
cabbabbaababbbbbaaaabbgbd	17927831
cabbabbaababbbbbaaaabgbbd	17927831
cabbabbaababbbbbaaaagbbbd	17927831
cabbabbaababbbbbaaafabbbd	17927831
cabbabbaababbbbbaaebabbbd	17927831
cabbabbaababbbbbaeababbbd	17927831
cabbabbaababbbbbeaababbbd	17927831
cabbabbaababbbbfbaababbbd	17927831
cabbabbaababbbgabaababbbd	17927831
cabbabbaababbgbabaababbbd	17927831
cabbabbaababgbbabaababbbd	17927831
cabbabbaabagbbbabaababbbd	17927831
cabbabbaabfabbbabaababbbd	17927831
cabbabbaagaabbbabaababbbd	17927831
cabbabbafaaabbbabaababbbd	17927831
cabbabbebaaabbbabaababbbd	17927831
cabbabfbbaaabbbabaababbbd	17927831
cabbagabbaaabbbabaababbbd	17927831
cabbfaabbaaabbbabaababbbd	17927831
cabgaaabbaaabbbabaababbbd	17927831
cagbaaabbaaabbbabaababbbd	17927831
cfabaaabbaaabbbabaababbbd	17927831
caaabaaabbaaabbbabaababbbd	17927831
caaabaaabbaaabbbabaababbgd	26891747
caaabaaabbaaabbbabaababgbd	26891747
caaabaaabbaaabbbabaabagbbd	26891747
caaabaaabbaaabbbabaabfabbd	26891747
caaabaaabbaaabbbabaagaabbd	26891747
caaabaaabbaaabbbabafaaabbd	26891747
caaabaaabbaaabbbabebaaabbd	26891747
caaabaaabbaaabbbafbbaaabbd	26891747
caaabaaabbaaabbbebbbaaabbd	26891747
caaabaaabbaaabbfbbbbaaabbd	26891747
caaabaaabbaaabgabbbbaaabbd	26891747
caaabaaabbaaagbabbbbaaabbd	26891747
caaabaaabbaafababbbbaaabbd	26891747
caaabaaabbaebababbbbaaabbd	26891747
caaabaaabbeabababbbbaaabbd	26891747
caaabaaabfbabababbbbaaabbd	26891747
caaabaaagababababbbbaaabbd	26891747
caaabaafaababababbbbaaabbd	26891747
caaabaebaababababbbbaaabbd	26891747
caaabeabaababababbbbaaabbd	26891747
caaafbabaababababbbbaaabbd	26891747
caaebbabaababababbbbaaabbd	26891747
caeabbabaababababbbbaaabbd	26891747
ceaabbabaababababbbbaaabbd	26891747
cbaabbabaababababbbbaaabbd	26891747
cbaabbabaababababbbbaaabgd	40337621
cbaabbabaababababbbbaaagbd	40337621
cbaabbabaababababbbbaafabd	40337621
cbaabbabaababababbbbaebabd	40337621
cbaabbabaababababbbbeababd	40337621
cbaabbabaababababbbfbababd	40337621
cbaabbabaababababbgabababd	40337621
cbaabbabaababababgbabababd	40337621
cbaabbabaabababagbbabababd	40337621
cbaabbabaabababfabbabababd	40337621
cbaabbabaababagaabbabababd	40337621
cbaabbabaababfaaabbabababd	40337621
cbaabbabaabagaaaabbabababd	40337621
cbaabbabaabfaaaaabbabababd	40337621
cbaabbabaagaaaaaabbabababd	40337621
cbaabbabafaaaaaaabbabababd	40337621
cbaabbabebaaaaaaabbabababd	40337621
cbaabbafbbaaaaaaabbabababd	40337621
cbaabbebbbaaaaaaabbabababd	40337621
cbaabfbbbbaaaaaaabbabababd	40337621
cbaagabbbbaaaaaaabbabababd	40337621
cbafaabbbbaaaaaaabbabababd	40337621
cbebaabbbbaaaaaaabbabababd	40337621
cfbbaabbbbaaaaaaabbabababd	40337621
caabbaabbbbaaaaaaabbabababd	40337621
