"Input number 2751484 with intial rewrite term cabaabbbbbbabbbbbbbbaad
Generated final number 6692535845 with final rewrite term cbaaabbbabbbaabbbbbbbbbbaaabaababd
Number of steps: 1403  Number of array doubles: 0"
Term	Number
cbbbaabaagabaaaabaaabbbbaabd	190612601
cbbbaabafaabaaaabaaabbbbaabd	190612601
cbbbaabebaabaaaabaaabbbbaabd	190612601
cbbbaafbbaabaaaabaaabbbbaabd	190612601
cbbbaebbbaabaaaabaaabbbbaabd	190612601
cbbbeabbbaabaaaabaaabbbbaabd	190612601
cbbfbabbbaabaaaabaaabbbbaabd	190612601
cbgababbbaabaaaabaaabbbbaabd	190612601
cgbababbbaabaaaabaaabbbbaabd	190612601
cabbababbbaabaaaabaaabbbbaabd	190612601
cabbababbbaabaaaabaaabbbbaagd	285918902
cabbababbbaabaaaabaaabbbbafad	285918902
cabbababbbaabaaaabaaabbbbebad	285918902
cabbababbbaabaaaabaaabbbfbbad	285918902
cabbababbbaabaaaabaaabbgabbad	285918902
cabbababbbaabaaaabaaabgbabbad	285918902
cabbababbbaabaaaabaaagbbabbad	285918902
cabbababbbaabaaaabaafabbabbad	285918902
cabbababbbaabaaaabaebabbabbad	285918902
cabbababbbaabaaaabeababbabbad	285918902
cabbababbbaabaaaafbababbabbad	285918902
cabbababbbaabaaaebbababbabbad	285918902
cabbababbbaabaaeabbababbabbad	285918902
cabbababbbaabaeaabbababbabbad	285918902
cabbababbbaabeaaabbababbabbad	285918902
cabbababbbaafbaaabbababbabbad	285918902
cabbababbbaebbaaabbababbabbad	285918902
cabbababbbeabbaaabbababbabbad	285918902
cabbababbfbabbaaabbababbabbad	285918902
cabbababgababbaaabbababbabbad	285918902
cabbabagbababbaaabbababbabbad	285918902
cabbabfabababbaaabbababbabbad	285918902
cabbagaabababbaaabbababbabbad	285918902
cabbfaaabababbaaabbababbabbad	285918902
cabgaaaabababbaaabbababbabbad	285918902
cagbaaaabababbaaabbababbabbad	285918902
cfabaaaabababbaaabbababbabbad	285918902
caaabaaaabababbaaabbababbabbad	285918902
caaabaaaabababbaaabbababbabbd	142959451
caaabaaaabababbaaabbababbabgd	214439177
caaabaaaabababbaaabbababbagbd	214439177
caaabaaaabababbaaabbababbfabd	214439177
caaabaaaabababbaaabbababgaabd	214439177
caaabaaaabababbaaabbabagbaabd	214439177
caaabaaaabababbaaabbabfabaabd	214439177
caaabaaaabababbaaabbagaabaabd	214439177
caaabaaaabababbaaabbfaaabaabd	214439177
caaabaaaabababbaaabgaaaabaabd	214439177
caaabaaaabababbaaagbaaaabaabd	214439177
caaabaaaabababbaafabaaaabaabd	214439177
caaabaaaabababbaebabaaaabaabd	214439177
caaabaaaabababbeababaaaabaabd	214439177
caaabaaaabababfbababaaaabaabd	214439177
caaabaaaababagabababaaaabaabd	214439177
caaabaaaababfaabababaaaabaabd	214439177
caaabaaaabagaaabababaaaabaabd	214439177
caaabaaaabfaaaabababaaaabaabd	214439177
caaabaaaagaaaaabababaaaabaabd	214439177
caaabaaafaaaaaabababaaaabaabd	214439177
caaabaaebaaaaaabababaaaabaabd	214439177
caaabaeabaaaaaabababaaaabaabd	214439177
caaabeaabaaaaaabababaaaabaabd	214439177
caaafbaabaaaaaabababaaaabaabd	214439177
caaebbaabaaaaaabababaaaabaabd	214439177
caeabbaabaaaaaabababaaaabaabd	214439177
ceaabbaabaaaaaabababaaaabaabd	214439177
cbaabbaabaaaaaabababaaaabaabd	214439177
cbaabbaabaaaaaabababaaaabaagd	321658766
cbaabbaabaaaaaabababaaaabafad	321658766
cbaabbaabaaaaaabababaaaabebad	321658766
cbaabbaabaaaaaabababaaaafbbad	321658766
cbaabbaabaaaaaabababaaaebbbad	321658766
cbaabbaabaaaaaabababaaeabbbad	321658766
cbaabbaabaaaaaabababaeaabbbad	321658766
cbaabbaabaaaaaabababeaaabbbad	321658766
cbaabbaabaaaaaababafbaaabbbad	321658766
cbaabbaabaaaaaababebbaaabbbad	321658766
cbaabbaabaaaaaabafbbbaaabbbad	321658766
cbaabbaabaaaaaabebbbbaaabbbad	321658766
cbaabbaabaaaaaafbbbbbaaabbbad	321658766
cbaabbaabaaaaaebbbbbbaaabbbad	321658766
cbaabbaabaaaaeabbbbbbaaabbbad	321658766
cbaabbaabaaaeaabbbbbbaaabbbad	321658766
cbaabbaabaaeaaabbbbbbaaabbbad	321658766
cbaabbaabaeaaaabbbbbbaaabbbad	321658766
cbaabbaabeaaaaabbbbbbaaabbbad	321658766
cbaabbaafbaaaaabbbbbbaaabbbad	321658766
cbaabbaebbaaaaabbbbbbaaabbbad	321658766
cbaabbeabbaaaaabbbbbbaaabbbad	321658766
cbaabfbabbaaaaabbbbbbaaabbbad	321658766
cbaagababbaaaaabbbbbbaaabbbad	321658766
cbafaababbaaaaabbbbbbaaabbbad	321658766
cbebaababbaaaaabbbbbbaaabbbad	321658766
cfbbaababbaaaaabbbbbbaaabbbad	321658766
caabbaababbaaaaabbbbbbaaabbbad	321658766
caabbaababbaaaaabbbbbbaaabbbd	160829383
caabbaababbaaaaabbbbbbaaabbgd	241244075
caabbaababbaaaaabbbbbbaaabgbd	241244075
caabbaababbaaaaabbbbbbaaagbbd	241244075
caabbaababbaaaaabbbbbbaafabbd	241244075
caabbaababbaaaaabbbbbbaebabbd	241244075
caabbaababbaaaaabbbbbbeababbd	241244075
caabbaababbaaaaabbbbbfbababbd	241244075
caabbaababbaaaaabbbbgabababbd	241244075
caabbaababbaaaaabbbgbabababbd	241244075
caabbaababbaaaaabbgbbabababbd	241244075
caabbaababbaaaaabgbbbabababbd	241244075
caabbaababbaaaaagbbbbabababbd	241244075
caabbaababbaaaafabbbbabababbd	241244075
caabbaababbaaaebabbbbabababbd	241244075
caabbaababbaaeababbbbabababbd	241244075
caabbaababbaeaababbbbabababbd	241244075
caabbaababbeaaababbbbabababbd	241244075
caabbaababfbaaababbbbabababbd	241244075
