"Input number 959414494 with intial rewrite term cbbaabaababbbbbaaaaaaabbabbbbad
Generated final number 471412148906647493 with final rewrite term cbabaaabababbaabababbabbabaaaaabbbaabbaaabaababbbbbbbaaababd
Number of steps: 3207  Number of array doubles: 0"
Term	Number
cabbabbbaabbaabbabafabbaaaabbbbbd	4610389535
cabbabbbaabbaabbabebabbaaaabbbbbd	4610389535
cabbabbbaabbaabbafbbabbaaaabbbbbd	4610389535
cabbabbbaabbaabbebbbabbaaaabbbbbd	4610389535
cabbabbbaabbaabfbbbbabbaaaabbbbbd	4610389535
cabbabbbaabbaagabbbbabbaaaabbbbbd	4610389535
cabbabbbaabbafaabbbbabbaaaabbbbbd	4610389535
cabbabbbaabbebaabbbbabbaaaabbbbbd	4610389535
cabbabbbaabfbbaabbbbabbaaaabbbbbd	4610389535
cabbabbbaagabbaabbbbabbaaaabbbbbd	4610389535
cabbabbbafaabbaabbbbabbaaaabbbbbd	4610389535
cabbabbbebaabbaabbbbabbaaaabbbbbd	4610389535
cabbabbfbbaabbaabbbbabbaaaabbbbbd	4610389535
cabbabgabbaabbaabbbbabbaaaabbbbbd	4610389535
cabbagbabbaabbaabbbbabbaaaabbbbbd	4610389535
cabbfababbaabbaabbbbabbaaaabbbbbd	4610389535
cabgaababbaabbaabbbbabbaaaabbbbbd	4610389535
cagbaababbaabbaabbbbabbaaaabbbbbd	4610389535
cfabaababbaabbaabbbbabbaaaabbbbbd	4610389535
caaabaababbaabbaabbbbabbaaaabbbbbd	4610389535
caaabaababbaabbaabbbbabbaaaabbbbgd	6915584303
caaabaababbaabbaabbbbabbaaaabbbgbd	6915584303
caaabaababbaabbaabbbbabbaaaabbgbbd	6915584303
caaabaababbaabbaabbbbabbaaaabgbbbd	6915584303
caaabaababbaabbaabbbbabbaaaagbbbbd	6915584303
caaabaababbaabbaabbbbabbaaafabbbbd	6915584303
caaabaababbaabbaabbbbabbaaebabbbbd	6915584303
caaabaababbaabbaabbbbabbaeababbbbd	6915584303
caaabaababbaabbaabbbbabbeaababbbbd	6915584303
caaabaababbaabbaabbbbabfbaababbbbd	6915584303
caaabaababbaabbaabbbbagabaababbbbd	6915584303
caaabaababbaabbaabbbbfaabaababbbbd	6915584303
