"Input number 10473136 with intial rewrite term caabbbbbbbaabbbababbaaaad
Generated final number 620527837 with final rewrite term caabaabbbbbbaabaaaaaaabbabbbabd
Number of steps: 855  Number of array doubles: 0"
Term	Number
caaabaaabababbfaaabbaabbbd	26871911
caaabaaabababgaaaabbaabbbd	26871911
caaabaaababagbaaaabbaabbbd	26871911
caaabaaababfabaaaabbaabbbd	26871911
caaabaaabagaabaaaabbaabbbd	26871911
caaabaaabfaaabaaaabbaabbbd	26871911
caaabaaagaaaabaaaabbaabbbd	26871911
caaabaafaaaaabaaaabbaabbbd	26871911
caaabaebaaaaabaaaabbaabbbd	26871911
caaabeabaaaaabaaaabbaabbbd	26871911
caaafbabaaaaabaaaabbaabbbd	26871911
caaebbabaaaaabaaaabbaabbbd	26871911
caeabbabaaaaabaaaabbaabbbd	26871911
ceaabbabaaaaabaaaabbaabbbd	26871911
cbaabbabaaaaabaaaabbaabbbd	26871911
cbaabbabaaaaabaaaabbaabbgd	40307867
cbaabbabaaaaabaaaabbaabgbd	40307867
cbaabbabaaaaabaaaabbaagbbd	40307867
cbaabbabaaaaabaaaabbafabbd	40307867
cbaabbabaaaaabaaaabbebabbd	40307867
cbaabbabaaaaabaaaabfbbabbd	40307867
cbaabbabaaaaabaaaagabbabbd	40307867
cbaabbabaaaaabaaafaabbabbd	40307867
cbaabbabaaaaabaaebaabbabbd	40307867
cbaabbabaaaaabaeabaabbabbd	40307867
cbaabbabaaaaabeaabaabbabbd	40307867
cbaabbabaaaaafbaabaabbabbd	40307867
cbaabbabaaaaebbaabaabbabbd	40307867
cbaabbabaaaeabbaabaabbabbd	40307867
cbaabbabaaeaabbaabaabbabbd	40307867
cbaabbabaeaaabbaabaabbabbd	40307867
cbaabbabeaaaabbaabaabbabbd	40307867
cbaabbafbaaaabbaabaabbabbd	40307867
cbaabbebbaaaabbaabaabbabbd	40307867
cbaabfbbbaaaabbaabaabbabbd	40307867
cbaagabbbaaaabbaabaabbabbd	40307867
cbafaabbbaaaabbaabaabbabbd	40307867
cbebaabbbaaaabbaabaabbabbd	40307867
cfbbaabbbaaaabbaabaabbabbd	40307867
caabbaabbbaaaabbaabaabbabbd	40307867
caabbaabbbaaaabbaabaabbabgd	60461801
caabbaabbbaaaabbaabaabbagbd	60461801
caabbaabbbaaaabbaabaabbfabd	60461801
caabbaabbbaaaabbaabaabgaabd	60461801
caabbaabbbaaaabbaabaagbaabd	60461801
caabbaabbbaaaabbaabafabaabd	60461801
caabbaabbbaaaabbaabebabaabd	60461801
caabbaabbbaaaabbaafbbabaabd	60461801
caabbaabbbaaaabbaebbbabaabd	60461801
caabbaabbbaaaabbeabbbabaabd	60461801
caabbaabbbaaaabfbabbbabaabd	60461801
caabbaabbbaaaagababbbabaabd	60461801
caabbaabbbaaafaababbbabaabd	60461801
caabbaabbbaaebaababbbabaabd	60461801
caabbaabbbaeabaababbbabaabd	60461801
caabbaabbbeaabaababbbabaabd	60461801
caabbaabbfbaabaababbbabaabd	60461801
caabbaabgabaabaababbbabaabd	60461801
caabbaagbabaabaababbbabaabd	60461801
caabbafababaabaababbbabaabd	60461801
caabbebababaabaababbbabaabd	60461801
caabfbbababaabaababbbabaabd	60461801
caagabbababaabaababbbabaabd	60461801
cafaabbababaabaababbbabaabd	60461801
cebaabbababaabaababbbabaabd	60461801
cbbaabbababaabaababbbabaabd	60461801
cbbaabbababaabaababbbabaagd	90692702
cbbaabbababaabaababbbabafad	90692702
cbbaabbababaabaababbbabebad	90692702
cbbaabbababaabaababbbafbbad	90692702
cbbaabbababaabaababbbebbbad	90692702
cbbaabbababaabaababbfbbbbad	90692702
cbbaabbababaabaababgabbbbad	90692702
cbbaabbababaabaabagbabbbbad	90692702
cbbaabbababaabaabfababbbbad	90692702
cbbaabbababaabaagaababbbbad	90692702
cbbaabbababaabafaaababbbbad	90692702
cbbaabbababaabebaaababbbbad	90692702
cbbaabbababaafbbaaababbbbad	90692702
cbbaabbababaebbbaaababbbbad	90692702
cbbaabbababeabbbaaababbbbad	90692702
cbbaabbabafbabbbaaababbbbad	90692702
cbbaabbabebbabbbaaababbbbad	90692702
cbbaabbafbbbabbbaaababbbbad	90692702
cbbaabbebbbbabbbaaababbbbad	90692702
cbbaabfbbbbbabbbaaababbbbad	90692702
cbbaagabbbbbabbbaaababbbbad	90692702
cbbafaabbbbbabbbaaababbbbad	90692702
cbbebaabbbbbabbbaaababbbbad	90692702
cbfbbaabbbbbabbbaaababbbbad	90692702
cgabbaabbbbbabbbaaababbbbad	90692702
cababbaabbbbbabbbaaababbbbad	90692702
cababbaabbbbbabbbaaababbbbd	45346351
cababbaabbbbbabbbaaababbbgd	68019527
cababbaabbbbbabbbaaababbgbd	68019527
cababbaabbbbbabbbaaababgbbd	68019527
cababbaabbbbbabbbaaabagbbbd	68019527
cababbaabbbbbabbbaaabfabbbd	68019527
cababbaabbbbbabbbaaagaabbbd	68019527
cababbaabbbbbabbbaafaaabbbd	68019527
cababbaabbbbbabbbaebaaabbbd	68019527
cababbaabbbbbabbbeabaaabbbd	68019527
cababbaabbbbbabbfbabaaabbbd	68019527
cababbaabbbbbabgababaaabbbd	68019527
cababbaabbbbbagbababaaabbbd	68019527
cababbaabbbbbfabababaaabbbd	68019527
cababbaabbbbgaabababaaabbbd	68019527
cababbaabbbgbaabababaaabbbd	68019527
cababbaabbgbbaabababaaabbbd	68019527
cababbaabgbbbaabababaaabbbd	68019527
cababbaagbbbbaabababaaabbbd	68019527
cababbafabbbbaabababaaabbbd	68019527
cababbebabbbbaabababaaabbbd	68019527
cababfbbabbbbaabababaaabbbd	68019527
cabagabbabbbbaabababaaabbbd	68019527
cabfaabbabbbbaabababaaabbbd	68019527
cagaaabbabbbbaabababaaabbbd	68019527
cfaaaabbabbbbaabababaaabbbd	68019527
caaaaaabbabbbbaabababaaabbbd	68019527
caaaaaabbabbbbaabababaaabbgd	102029291
caaaaaabbabbbbaabababaaabgbd	102029291
caaaaaabbabbbbaabababaaagbbd	102029291
caaaaaabbabbbbaabababaafabbd	102029291
caaaaaabbabbbbaabababaebabbd	102029291
caaaaaabbabbbbaabababeababbd	102029291
caaaaaabbabbbbaababafbababbd	102029291
caaaaaabbabbbbaababebbababbd	102029291
caaaaaabbabbbbaabafbbbababbd	102029291
caaaaaabbabbbbaabebbbbababbd	102029291
caaaaaabbabbbbaafbbbbbababbd	102029291
caaaaaabbabbbbaebbbbbbababbd	102029291
caaaaaabbabbbbeabbbbbbababbd	102029291
caaaaaabbabbbfbabbbbbbababbd	102029291
caaaaaabbabbgababbbbbbababbd	102029291
caaaaaabbabgbababbbbbbababbd	102029291
caaaaaabbagbbababbbbbbababbd	102029291
caaaaaabbfabbababbbbbbababbd	102029291
caaaaaabgaabbababbbbbbababbd	102029291
caaaaaagbaabbababbbbbbababbd	102029291
caaaaafabaabbababbbbbbababbd	102029291
caaaaebabaabbababbbbbbababbd	102029291
caaaeababaabbababbbbbbababbd	102029291
caaeaababaabbababbbbbbababbd	102029291
caeaaababaabbababbbbbbababbd	102029291
ceaaaababaabbababbbbbbababbd	102029291
cbaaaababaabbababbbbbbababbd	102029291
cbaaaababaabbababbbbbbababgd	153043937
cbaaaababaabbababbbbbbabagbd	153043937
cbaaaababaabbababbbbbbabfabd	153043937
cbaaaababaabbababbbbbbagaabd	153043937
cbaaaababaabbababbbbbbfaaabd	153043937
cbaaaababaabbababbbbbgaaaabd	153043937
cbaaaababaabbababbbbgbaaaabd	153043937
cbaaaababaabbababbbgbbaaaabd	153043937
cbaaaababaabbababbgbbbaaaabd	153043937
cbaaaababaabbababgbbbbaaaabd	153043937
cbaaaababaabbabagbbbbbaaaabd	153043937
cbaaaababaabbabfabbbbbaaaabd	153043937
cbaaaababaabbagaabbbbbaaaabd	153043937
cbaaaababaabbfaaabbbbbaaaabd	153043937
cbaaaababaabgaaaabbbbbaaaabd	153043937
cbaaaababaagbaaaabbbbbaaaabd	153043937
cbaaaababafabaaaabbbbbaaaabd	153043937
cbaaaababebabaaaabbbbbaaaabd	153043937
cbaaaabafbbabaaaabbbbbaaaabd	153043937
cbaaaabebbbabaaaabbbbbaaaabd	153043937
cbaaaafbbbbabaaaabbbbbaaaabd	153043937
cbaaaebbbbbabaaaabbbbbaaaabd	153043937
cbaaeabbbbbabaaaabbbbbaaaabd	153043937
